E:\ТЕКУЩАЯСМЕНА\358\1\2019-08-26\23_54_57.zip\23_54_57.fmt;;
 Начальное значение 26.08.2019 23:54:57;
Время;Тип;Сообщение
23:54:57;2;Регистратор: код выхода 1
23:54:57;2;Ведущая секция с Nаб=1 (точное время: 2019-Авг-26 23:54:49:900)
23:54:57;83;C1 Нет связи со счетчиком электроэнергии! (точное время: 2019-Авг-26 23:54:49:910)
23:54:57;83;C2 Нет связи со счетчиком электроэнергии! (точное время: 2019-Авг-26 23:54:49:910)
23:54:57;83;C3 Нет связи со счетчиком электроэнергии! (точное время: 2019-Авг-26 23:54:49:910)
23:54:57;81;объекта № (точное время: 2019-Авг-26 23:54:50:261)
23:54:57;81;ъекта № (точное время: 2019-Авг-26 23:54:50:261)
23:54:57;81;екта № (точное время: 2019-Авг-26 23:54:50:261)
23:54:57;81;бъекта № (точное время: 2019-Авг-26 23:54:50:271)
23:54:57;81;бъекта № (точное время: 2019-Авг-26 23:54:50:271)
23:54:57;81; объекта № (точное время: 2019-Авг-26 23:54:50:271)
23:54:57;81; объекта № (точное время: 2019-Авг-26 23:54:50:281)
23:54:57;81;объекта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;81;ъекта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;81;екта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;81;бъекта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;81;бъекта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;81; объекта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;81; объекта № (точное время: 2019-Авг-26 23:54:50:451)
23:54:57;1;Изменение версии ПО МК в секции 1 : 9.10 (точное время: 2019-Авг-26 23:54:50:982)
23:54:57;1;Изменение версии ПО ЦМК в секции 1 : 9.10 (точное время: 2019-Авг-26 23:54:50:982)
23:54:57;1;Изменение версии ПО БИВ в секции 1 : 11 (точное время: 2019-Авг-26 23:54:50:982)
23:54:57;1;Изменение версии ПО МК в секции 2 : 9.10 (точное время: 2019-Авг-26 23:54:50:982)
23:54:57;1;Изменение версии ПО ЦМК в секции 2 : 9.10 (точное время: 2019-Авг-26 23:54:50:982)
